1;Bench press
2;Incline bench press
3;close-grip bench press
4;decline barbell bench press
5;wide-grip bench press
6;Barbell squat
7;Crunch
8;Barbell shrug
9;Standing dumbbell shrug
10;Decline plate sit-up
11;Landmine twist
12;Single-arm bent-over rear delt fly
13;Weighted crunch
14;Kneeling cable crunch
15;ab crunch machine
16;Elbow plank
17;Hanging leg raise
18;Side plank hip dip
19;incline biceps dumbbel curl
20;wide-grip barbell curl
21;barbell curl
22;close-grip ez-bar curl
23;preacher curl
24;reverse-grip barbell curl
25;hammer curl
26;dumbell bicep curl
27;seated hammer curl
28;machine preacher curl
29;smith machine calf raise
30;seated calf raise
31;calf press on the leg press machine
32;incline band bench press
33;band push-up
34;kettlebell plyo push-up
35;pushups
36;incline push-up
37;hands-elevated push-up
38;smith machine bench press
39;machine chest press
40;smith machine incline bench press
41;machine chest fly
42;low-cable cross-over
43;incline cable chest fly
44;cable crossover
45;incline cable chest press
46;lying cable chest fly
47;seated cable chest fly
48;high-to-low cable chest fly
49;medicine ball chest pass
50;dumbbell bench press
51;dumbbell flyes
52;incline dumbbell bench press 
53;decline dumbbell flyes
54;single-arm kettlebell row
55;machine rear delt fly
56;chest dip
57;plate halo
58;barbell glute bridge
59;barbell hip thrust
60;single-arm triceps kick-back
61;single-leg cable hip extension
62;glute bridge
63;step-up with knee raise
64;walking lunge
65;barbell deadlift
66;sumo deadlift
67;romanian deadlift
68;single-arm kettlebell swing
69;seated leg curl
70;romanian deadlift with dumbbells
71;box jump
72;lying leg curl
73;reverse lunge
74;assisted chin-up
75;band-assisted pull-up
76;weighted pull-up
77;machine high row
78;close-grip pull-down
79;lat pull-down
80;reverse-grip lat pull-down
81;machine seated row
82;single-arm pull-down
83;pullups
84;rope climb
85;smith machine bent-over row
86;chin-up
87;barbell squat
88;barbell front squat
89;barbell bulgarian split squat
90;hack squat
91;goblet squat
92;dumbbell lunges
93;split squat with dumbbells
94;sled push
95;single-leg press
96;leg press
97;stair climber
98;leg extension
99;burpee
100;sissy squat
101;military press
102;barbell upright row
103;seated dumbbell shoulder press
104;single-arm lateral raise
105;alternating dumbbell front raises
106;front plate raise
107;seated rear delt fly
108;standing face pull
109;cable seated row
110;machine shoulder press
111;behind-the-head skullcrusher
112;standing barbell overhead triceps extension
113;seated triceps press
114;dumbbell skullcrusher
115;single-arm cable triceps extension
116;dip machine
117;cable overhead triceps extension
118;reverse-grip cable straight-bar push-down
119;cable triceps extension
120;cable rope push-down
